end_session,coef,se,n,ci_low,ci_high
2023-11-17,-0.1794946416000553,0.13838752848740773,2997,-0.45073419743537446,0.09174491423526387
2023-11-20,-0.1729768265960862,0.14014489364485017,2997,-0.44766081813999253,0.10170716494782012
2023-11-21,-0.1708637822077972,0.14038615952292338,2997,-0.446020654872727,0.10429309045713264
2023-11-22,-0.13330081824613726,0.1394904781667199,2997,-0.4067021554529082,0.1401005189606337
2023-11-27,-0.1371993325610518,0.13900002645419177,2997,-0.4096393844112677,0.13524071928916406
2023-11-28,-0.12558115232202086,0.13915926519151994,2997,-0.39833331209739997,0.14717100745335823
2023-11-29,-0.14064700453883194,0.1390725749959469,2997,-0.4132292515308879,0.13193524245322402
2023-11-30,-0.1461218378970393,0.13699308835459262,2997,-0.41462829107204086,0.12238461527796224
2023-12-01,-0.14558393640334322,0.13727467025715634,2997,-0.41464229010736964,0.1234744173006832
2023-12-04,-0.14850090559844797,0.13708797101938985,2997,-0.4171933287964521,0.12019151759955615
2023-12-05,-0.14872384945751682,0.1368649027462091,2997,-0.4169790588400867,0.11953135992505304
2023-12-06,-0.15091685938302193,0.13696594212161184,2997,-0.41937010594138113,0.11753638717533729
2023-12-07,-0.15141147975896546,0.13704548693075777,2997,-0.4200206341432507,0.11719767462531977
2023-12-08,-0.16658394907349153,0.13990506602018568,2997,-0.4407978784730554,0.10762998032607238
2023-12-11,-0.17178013212121998,0.13941500439039395,2997,-0.4450335407263921,0.10147327648395213
2023-12-12,-0.17066281805706945,0.13932467750035576,2997,-0.44373918595776674,0.10241354984362783
2023-12-13,-0.16128748696327536,0.13991875488594685,2997,-0.4355282465397312,0.11295327261318047
2023-12-14,-0.15279630327255023,0.14114030527529858,2997,-0.42943130161213544,0.12383869506703499
2023-12-15,-0.15227103457539032,0.14123969069981543,2997,-0.42910082834702856,0.12455875919624793
2023-12-18,-0.15359386295068514,0.14084705098271938,2997,-0.42965408287681517,0.12246635697544486
2023-12-19,-0.15664678728586306,0.1423518505462459,2997,-0.43565641435650504,0.12236283978477891
2023-12-20,-0.19133452567698572,0.137790010605034,2997,-0.4614029464628524,0.07873389510888096
2023-12-21,-0.18907175266771573,0.13783885811242846,2997,-0.45923591456807555,0.08109240923264407
2023-12-22,-0.17433671959970226,0.1381937572669306,2997,-0.44519648384288624,0.09652304464348171
2023-12-26,-0.18382850923468333,0.13773595689385607,2997,-0.45379098474664126,0.08613396627727457
2023-12-27,-0.1798219500870869,0.13873877838047044,2997,-0.45174995571280896,0.09210605553863516
2023-12-28,-0.17788216767352888,0.13929318957315717,2997,-0.45089681923691693,0.09513248388985918
2023-12-29,-0.16822750675968376,0.141012451409291,2997,-0.44461191152189417,0.10815689800252662
2024-01-02,-0.17678220990796634,0.1398823193189744,2997,-0.45095155577315615,0.09738713595722348
2024-01-03,-0.1702602262492743,0.14042687618967162,2997,-0.44549690358103067,0.10497645108248208
2024-01-04,-0.17773352039929757,0.13950295524736037,2997,-0.4511593126841239,0.09569227188552876
2024-01-05,-0.1730044507689187,0.14094321346684816,2997,-0.4492531491639411,0.10324424762610365
2024-01-08,-0.20197336202631214,0.13676317913586034,2997,-0.4700291931325984,0.06608246907997414
2024-01-09,-0.20747629535998868,0.1363266190937207,2997,-0.47467646878368125,0.059723878063703884
2024-01-10,-0.22852560940015462,0.1355307226474655,2997,-0.494165825789187,0.037114606988877724
2024-01-11,-0.21688129043651583,0.13669071922856263,2997,-0.48479510012449856,0.0510325192514669
2024-01-12,-0.2060317751473301,0.13770241851104648,2997,-0.4759285154289812,0.06386496513432102
2024-01-16,-0.21219473444861808,0.13728744911426288,2997,-0.4812781347125733,0.056888665815337136
2024-01-17,-0.19246938510899453,0.13844368396017895,2997,-0.46381900567094525,0.0788802354529562
2024-01-18,-0.196094482041834,0.13849131498385306,2997,-0.467537459410186,0.075348495326518
2024-01-19,-0.20811969955233006,0.13776160751171287,2997,-0.4781324502752873,0.061893051170627156
2024-01-22,-0.21193075137632186,0.13768371928092354,2997,-0.48179084116693205,0.057929338414288295
2024-01-23,-0.20174452831359166,0.13829058368299535,2997,-0.47279407233226256,0.06930501570507921
2024-01-24,-0.20839492306941587,0.13780385049826352,2997,-0.47849047004601236,0.06170062390718062
2024-01-25,-0.21209685785928845,0.1371725670521703,2997,-0.48095508928154224,0.056761373562965345
2024-01-26,-0.22250913855479698,0.13634400066226915,2997,-0.4897433798528445,0.04472510274325053
2024-01-29,-0.21492261794114167,0.1380187307880282,2997,-0.485439330285677,0.05559409440339361
2024-01-30,-0.20681013427913691,0.13943552788000674,2997,-0.4801037689239501,0.0664835003656763
2024-01-31,-0.2126525964045548,0.13800976384056027,2997,-0.48315173353205293,0.05784654072294332
2024-02-01,-0.2310619697252865,0.13731132952595693,2998,-0.500192175596162,0.038068236145589046
2024-02-02,-0.21177707470173157,0.1379594747513692,2998,-0.4821776452144152,0.05862349581095205
2024-02-05,-0.21611643168282743,0.13721292450945968,2998,-0.48505376372136844,0.052820900355713546
2024-02-06,-0.2367789870349132,0.13475761387728905,2998,-0.5009039102343997,0.027345936164573342
2024-02-07,-0.24023748303220557,0.13463726183280136,2998,-0.5041265162244962,0.023651550160085105
2024-02-08,-0.23931900952099056,0.1364521492082502,2998,-0.506765221969161,0.028127202927179795
2024-02-09,-0.26091891778230347,0.1336638189570958,2998,-0.5229000029382113,0.001062167373604317
2024-02-12,-0.20398526865639183,0.13265466691355499,2998,-0.4639884158069596,0.05601787849417594
2024-02-13,-0.18849350337834966,0.1333120525416371,2998,-0.4497851263599584,0.07279811960325908
2024-02-14,-0.18987384177551442,0.13305141381798768,2998,-0.4506546128587703,0.07090692930774145
2024-02-15,-0.17904210320570194,0.13338767464515516,2998,-0.44048194551020603,0.08239773909880219
2024-02-16,-0.1762260189418831,0.13359442421265516,2998,-0.43807109039868725,0.08561905251492102
2024-02-20,-0.17319634311120202,0.1337953203385934,2998,-0.4354351709748451,0.08904248475244103
2024-02-21,-0.12564416783257165,0.1456358072939248,2998,-0.4110903501286643,0.159802014463521
2024-02-22,-0.11860646455607246,0.14613642660131018,2998,-0.4050338606946404,0.16782093158249548
2024-02-23,-0.12025319359475821,0.14610125671525612,2998,-0.4066116567566602,0.16610526956714378
2024-02-26,-0.09337461630864291,0.1464085816781546,2998,-0.3803354363978259,0.1935862037805401
2024-02-27,-0.10172234613149445,0.1461812009768963,2998,-0.38823750004621116,0.18479280778322227
2024-02-28,-0.09219085986018011,0.14718501451267518,2998,-0.38067348830502346,0.19629176858466324
2024-02-29,-0.0958373012911665,0.14672927084780793,2997,-0.3834266721528701,0.19175206957053706
2024-03-01,-0.1082070811078936,0.14558241054449544,2997,-0.39354860577510464,0.17713444355931748
2024-03-04,-0.11462456143926271,0.1430097469182264,2997,-0.39492366539898643,0.16567454252046104
2024-03-05,-0.1043765523801082,0.1435701975411736,2997,-0.3857741395608084,0.17702103480059203
2024-03-06,-0.09772076566395513,0.14407258220600697,2997,-0.3801030267877288,0.1846614954598185
2024-03-07,-0.09845137616559968,0.1450015937524533,2997,-0.3826544999204082,0.18575174758920882
2024-03-08,-0.09468803584353877,0.14493954166388523,2997,-0.37876953750475384,0.18939346581767627
2024-03-11,-0.10022332221383817,0.14442019167655828,2997,-0.3832868978998924,0.18284025347221605
2024-03-12,-0.09946687813077795,0.14335639437409065,2997,-0.38044541110399566,0.18151165484243972
2024-03-13,-0.09739011203512171,0.1436030122368513,2997,-0.37885201601935026,0.18407179194910683
2024-03-14,-0.11027577667230684,0.14196853587084518,2997,-0.38853410697916335,0.1679825536345497
2024-03-15,-0.11641495422980885,0.14247132876283086,2997,-0.39565875860495736,0.16282885014533965
2024-03-18,-0.11188882118484844,0.14268097481153488,2997,-0.3915435318154568,0.16776588944575993
2024-03-19,-0.10614334896224353,0.14269750953280258,2997,-0.3858304676465366,0.17354376972204955
2024-03-20,-0.09944982669381155,0.1443379850266584,2997,-0.38235227734606203,0.1834526239584389
2024-03-21,-0.09314560529981974,0.14598969885008614,2997,-0.37928541504598856,0.19299420444634907
2024-03-22,-0.099409197671084,0.14565915205129878,2997,-0.38490113569162965,0.18608274034946162
2024-03-25,-0.09501390826595789,0.14601234671399427,2997,-0.38119810782538666,0.19117029129347085
2024-03-26,-0.0016929567977668827,0.13611037316904273,2997,-0.2684692882090906,0.26508337461355685
2024-03-27,0.005623854106488885,0.13590272955890054,2997,-0.2607454958289561,0.27199320404193394
2024-03-28,0.006470904985961867,0.13555224015985323,2999,-0.2592114857273505,0.2721532956992742
2024-04-01,-0.013007558690465201,0.13721660715410025,3005,-0.2819521087125017,0.2559369913315713
2024-04-02,-0.02284097976264897,0.1371993949094274,3012,-0.29175179378512667,0.2460698342598287
2024-04-03,-0.018361446463433143,0.13694189223805397,3017,-0.2867675552500189,0.25004466232315264
2024-04-04,-0.028502832197017033,0.13626647484729748,3022,-0.2955851228977201,0.238579458503686
2024-04-05,-0.021613872765896117,0.13615091334815618,3022,-0.2884696629282822,0.24524191739648998
2024-04-08,-0.025185878461497835,0.13618162405108988,3022,-0.292101861601634,0.2417301046786383
